day,date,topic,09:00 - 09:45,09:45 - 10:30,10:30 - 12:00,12:00 - 12:45,12:45 - 14:15,14:15 - 15:45,15: 45 - 16:00,16:00 - 16:45,16:45 - 18:00,18:00 - 19:00
19,24. February 2022,Unit Testing,Protokoll Besprechung & Review,Unit Testing Intro,Jest Intro,Pause,Testing Übung,Wiederholung: JavaScript,Pause,Wiederholung: JavaScript,Wiederholung: JavaScript,Tägliche Wiederholung
20,25. February 2022,API Fetch,Protokoll Besprechung & Review,Projektarbeit: API Fetch,Projektarbeit: API Fetch,Pause,Projektarbeit: API Fetch,Projektarbeit: API Fetch,Pause,Projektarbeit: API Fetch,JavaScript 2 Lernerfolgskontrolle,Tägliche Wiederholung
21,28. February 2022,React Basics,Protokoll Besprechung & Review,Code Review: API Fetch,Code Review: API Fetch,Pause,Intro zu React,Intro zu React,Pause,Intro zu React,React Übungen,Tägliche Wiederholung
22,1. March 2022,React Props & Arrays,Protokoll Besprechung & Review,Intro zu React Props,Intro zu React Props,Pause,Intro zu React Props & Arrays,Intro zu React Props & Arrays,Pause,React Übungen,React Übungen,Tägliche Wiederholung
23,2. March 2022,React useState & Events,Protokoll Besprechung & Review,Intro zu React useState,Intro zu React useState,Pause,Übungen useState,Intro zu Events in React,Pause,Intro zu Events in React,Übungen zu React Events,Tägliche Wiederholung
24,3. March 2022,React useEffect,Protokoll Besprechung & Review,Intro React useEffect,Intro React useEffect,Pause,React useEffect mit Fetch,Start Shopping List App Übung,Pause,Start Shopping List App Übung,Start Shopping List App Übung,Tägliche Wiederholung
25,4. March 2022,"localStorage, Shopping List App",Protokoll Besprechung & Review,Intro localStorage,Projektarbeit: Shopping List App,Pause,Projektarbeit: Shopping List App,Projektarbeit: Shopping List App,Pause,Projektarbeit: Shopping List App,React 1 Lernerfolgskontrolle,Tägliche Wiederholung
26,7. March 2022,React Wiederholung,Protokoll Besprechung & Review,Code Review Shopping List App,Übung Shopping List App,Pause,Übung Shopping List App,Übung Shopping List App,Pause,React Wiederholung,React Wiederholung,Tägliche Wiederholung
27,8. March 2022,"Storybook, Styled Components",Protokoll Besprechung & Review,Storybook in React,Storybook in React,Pause,Übung Storybook,Styled Components in React,Pause,Styled Components in React,Styled Components in React,Tägliche Wiederholung
28,9. March 2022,React Router,Protokoll Besprechung & Review,React Router Intro,React Router Intro,Pause,React Router Übung,React Router Übung,Pause,Career Session,Career Session,Tägliche Wiederholung
29,10. March 2022,Component Testing,Protokoll Besprechung & Review,Component Testing in React,Component Testing in React,Pause,Component Testing in React,Component Testing in React,Pause,Component Testing in React,Component Testing in React,Tägliche Wiederholung
30,11. March 2022,Skorekeeper App,Protokoll Besprechung & Review,Projektarbeit: Scorekeeper App,Projektarbeit: Scorekeeper App,Pause,React 2 Lernerfolgskontrolle,1on1s,Pause,1on1s,1on1s,Tägliche Wiederholung
31,14. March 2022,"React Custom Hooks, NodeJS",Protokoll Besprechung & Review,Code Review: Scorekeeper App,Übung Scorekeeper App,Pause,React Custom Hooks,React Custom Hooks,Pause,NodeJS Basics,Übung: Lean Coffee Board,Tägliche Wiederholung
32,15. March 2022,"REST, Serverless Functions",Protokoll Besprechung & Review,REST Client,REST Client,Pause,Serverless Functions Vercel,Serverless Functions Vercel,Pause,Serverless Functions Vercel,Übung: Lean Coffee Board,Tägliche Wiederholung
33,16. March 2022,"MongoDB, Mongoose",Protokoll Besprechung & Review,Intro Datenbanken,MongoDB,Pause,MongoDB Übung,Mongoose Intro,Pause,Mongoose,Mongoose Übung,Tägliche Wiederholung
34,17. March 2022,Design,Protokoll Besprechung & Review,Design Workshop,Design Workshop,Pause,Design Workshop,Design Workshop,Pause,Übung: Lean Coffee Board,CV Sessions,Tägliche Wiederholung
35,18. March 2022,Lean Coffee Board,Protokoll Besprechung & Review,Projektarbeit: Lean Coffee Board,Projektarbeit: Lean Coffee Board,Pause,Projektarbeit: Lean Coffee Board,Projektarbeit: Lean Coffee Board,Pause,CV Sessions,CV Sessions,Tägliche Wiederholung
36,21. March 2022,"Wiederholung React, User Stories",Protokoll Besprechung & Review,Code Review: Lean Coffee Board,React Wiederholung,Pause,React Wiederholung,User Stories Basics,Pause,User Stories Basics,User Stories Basics,Tägliche Wiederholung
37,22. March 2022,"SCRUM, Agile",Protokoll Besprechung & Review,Refinement User Stories,Refinement User Stories,Pause,SCRUM & Agile Intro,SCRUM & Agile Intro,Pause,SCRUM & Agile Intro,SCRUM & Agile Intro,Tägliche Wiederholung
38,23. March 2022,Capstone How To,Protokoll Besprechung & Review,Refinement User Stories,Refinement User Stories,Pause,Capstone Intro,Capstone Intro,Pause,Capstone Intro,Capstone Intro,Tägliche Wiederholung
39,24. March 2022,"SCRUM, Agile",Protokoll Besprechung & Review,Design Workshop,Design Workshop,Pause,SCRUM & Agile Intro,SCRUM & Agile Intro,Pause,Capstone Vorbereitung,Career Session Einweisung in die Jobbörse der Agentur,Tägliche Wiederholung
40,25. March 2022,Hands-on Machine Learning 2,Protokoll Besprechung & Review,Design Workshop,Design Workshop,Pause,Refinement User Stories,Refinement User Stories,Pause,Capstone Vorbereitung,Capstone Vorbereitung,Tägliche Wiederholung
41,28. March 2022,Gesellenstück,Protokoll Besprechung & Review,Daily Standup,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
42,29. March 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
43,30. March 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Alumni Q&A,Tägliche Wiederholung
44,31. March 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
45,1. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Public Sprint Review,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
46,4. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
47,5. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
48,6. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
49,7. April 2022,"OAuth, Gesellenstück",Daily Standup,Workshop: OAuth,Workshop: OAuth,Pause,Workshop: OAuth,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
50,8. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
51,11. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Public Sprint Review,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
52,12. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
53,13. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
54,14. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Vorbereitung Abschlussevent,Tägliche Wiederholung
55,19. April 2022,Gesellenstück,Daily Standup,1on1s,1on1s,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
56,20. April 2022,Gesellenstück,Daily Standup,1on1s,1on1s,Pause,Public Sprint Review,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
57,21. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
58,22. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Tägliche Wiederholung
59,25. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Gesellenstück,Gesellenstück,Pause,Vorbereitung Abschlussevent,Vorbereitung Abschlussevent,Tägliche Wiederholung
60,26. April 2022,Gesellenstück,Daily Standup,Gesellenstück,Gesellenstück,Pause,Generalprobe Abschlussevent,Generalprobe Abschlussevent,Pause,Generalprobe Abschlussevent,Gemeinsamer Gruppen Abschluss,Tägliche Wiederholung
